Kecamatan,Kabupaten,Nama objek,Nomor Lokasi Keterdapatan,Komoditi,Kode Unsur,Kelompok Mineral Logam,Lokasi Keterdapatan,Provinsi,Status Penyelidikan Mineral Logam,Bijih Terbukti (Ton),Logam Terbukti (Ton),keteragan,acuan,objectid,longitude,latitude,Jenis Izin,Lokasi Tambang,Luas Wilayah,Tanggal Berakhir SK,Tanggal Berlaku SK,Mine_port(meter),Mine_road(meter),Mine_Smelter(meter)
Malili,Luwu Timur,Nikel Desa Harapan dan Desa Pongkeru,283.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Desa Harapan dan Desa Pongkeru,Sulawesi Selatan,Operasi Produksi,7458000,91480.27,"Blok Kande Api Baru, Kande Api Lama, Landau, KM 17","PT Citra Lampia Mandiri, Laporan RKAB Tahun 2022",1301,121.153,-2.788,IUP,Desa Harapan Kec Malili Kab Luwu Timur,2660,"November 3, 2029","Juli 6, 2018",10999.274,427.609,34735.389
Towuti,Luwu Timur,Nikel Limonite Sorowako,281.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Limonite Sorowako,Sulawesi Selatan,Eksplorasi,0,0,"Kadar Ni 1,38%","PT INCO, RKAB 2012, Data Sumber Daya dan Cadangan per September 2011",1299,121.386,-2.617,IUPK,Blok Soroako. Kab. Luwu timur dan Kab. Morowali,70566,"Desember 28, 2035","Mei 3, 2024",,,
Wasuponda,Luwu Timur,Nikel Soroako-Petea HPAL,1.921.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Soroako-Petea HPAL,Sulawesi Selatan,Eksplorasi,0,0,Saprolit,"PT INCO, RKAB 2012, Data Sumber Daya dan Cadangan per September 2011",1453,121.242,-2.642,IUPK,Blok Soroako. Kab. Luwu timur dan Kab. Morowali,70566,"Desember 28, 2035","Mei 3, 2024",,,
Malili,Luwu Timur,Nikel Ussu,2.136.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Ussu,Sulawesi Selatan,Operasi Produksi,2244375,2.854.271.728,Blok C dan Blok DEF,"PT Prima Utama Lestari, Laporan Sumber Daya dan Cadangan Tahun 2019",1485,121.075,-2.571,IUP,"Desa Ussu, Kec. Malili, Kab.Luwu Timur",1419,"April 18, 2031","April 18, 2011",7801.659,1707.929,33707.756
Malili,Luwu Timur,Nikel Blok Pongkeru dan Blok Harapan,2.816.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Blok Pongkeru dan Blok Harapan,Sulawesi Selatan,Operasi Produksi,0,0,"2 blok, kadar Ni 0,6% s.d. 3,1%","PT Sumber Wahau Jaya, Laporan RKAB Tahun 2020",1634,121.153,-2.7885,IUP,Desa Harapan dan Pongkeru. Kec malili,303,"September 17, 2031","September 10, 2021",11026.502,449.858,34773.727
Malili,Luwu Timur,Nikel Malili,2.549.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Malili,Sulawesi Selatan,Operasi Produksi,0,0,Limonit-Saprolit,"PT Tiga Samudera Perkasa, Laporan Eksplorasi Tahun 2016 (Tabulasi Dinas ESDM Provinsi)",1571,121.138,-2.629,IUP,"Malili, Luwu Timur",3000,"Januari 23, 2038","Januari 23, 2018",5868.821,364.056,27488.922
Nuha,Luwu Timur,Nikel Soroako West Block,278.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Soroako West Block,Sulawesi Selatan,Operasi Produksi,269400000,1555750,Bijih kering,"PT Vale, Laporan RKAB Tahun 2020 (Tabulasi Ditjen Minerba)",1296,121.355,-2.56,IUPK,Blok Soroako. Kab. Luwu timur dan Kab. Morowali,70566,"Desember 28, 2035","Mei 3, 2024",31160.467,45.123,2820.245
Nuha,Luwu Timur,Nikel Soroako East Block,279.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Soroako East Block,Sulawesi Selatan,Operasi Produksi,0,0,-,"PT Vale, Laporan RKAB Tahun 2020 (Tabulasi Ditjen Minerba)",1297,121.393,-2.56,IUPK,Blok Soroako. Kab. Luwu timur dan Kab. Morowali,70566,"Desember 28, 2035","Mei 3, 2024",35230.483,342.276,2001.533
Towuti,Luwu Timur,Nikel Petea,280.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Petea,Sulawesi Selatan,Eksplorasi Rinci,0,0,Saprolit,"PT Vale, Laporan RKAB Tahun 2020 (Tabulasi Ditjen Minerba)",1298,121.535,-2.518,IUPK,Blok Soroako. Kab. Luwu timur dan Kab. Morowali,70566,"Desember 28, 2035","Mei 3, 2024",,,
Towuti,Luwu Timur,Nikel Soroako Outer SOA,282.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Soroako Outer SOA,Sulawesi Selatan,Eksplorasi,0,0,-,"PT Vale, Laporan RKAB Tahun 2020 (Tabulasi Ditjen Minerba)",1300,121.715,-2.675,IUPK,Blok Soroako. Kab. Luwu timur dan Kab. Morowali,70566,"Desember 28, 2035","Mei 3, 2024",,,
Petasia,Morowali Utara,Nikel Ganda ganda,1.374.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Ganda ganda,Sulawesi Tengah,Eksplorasi,0,0,-,"CV Rezky Utama, Persetujuan Laporan RKAB Tahun 2021",1394,121.3467,-1.8921,IUP ,"Desa Ganda-Ganda Kec. Petasia, Morowali",200,"April 12, 2032","April 19, 2012",,,
Sayo Jaya,Morowali Utara,Nikel Towi,2.860.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Towi,Sulawesi Tengah,Operasi Produksi,1530000,18956.7,-,"CV Surya Amindo Perkasa, Laporan RKAB Tahun 2021",1657,121.341,-1.8607,IUP ,Desa Towi Kec. Soyo Jaya,160,"Maret 25, 2031","Maret 24, 2010",11459.512,425.683,9266.777
Wita Ponda,Morowali,Nikel Solonsa,2.576.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Solonsa,Sulawesi Tengah,Operasi Produksi,5348698.25,51.294.016.218,Blok A-D,"PT Alaska Dwipa Perdana, Laporan RKAB Tahun 2019 (Tabulasi Dinas ESDM Provinsi)",1598,121.542,-2.223,IUP,"Desa Solonsa, Solonsa Jaya dan Ungkaya Kec. Wita Ponda, Kab. Morowali",480,"Oktober 16, 2029","Oktober 16, 2010",27275.631,1787.489,39563.219
Bahodopi,Morowali,Nikel Keurea,1.381.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Keurea,Sulawesi Tengah,Operasi Produksi,0,0,-,"PT Ang & fang Brothers, 2013",1401,122.102,-2.795,IUP,Desa Lalampu Kec. Bahodopi,775,"April 19, 2032","Februari 16, 2022",7111.484,51.944,1880.686
Bahodopi,Morowali,Nikel Lalampu 1,2.574.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Lalampu 1,Sulawesi Tengah,Operasi Produksi,0,0,-,"PT Ang and Fang Brothers (119 ha), Laporan RKAB Tahun 2022",1596,122.1025,-2.7957,IUP,Desa Lalampu Kec. Bahodopi,775,"April 19, 2032","Februari 16, 2022",7041.997,14.482,1925.175
Bungku Selatan,Morowali,Nikel Lalampu 2,2.805.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Lalampu 2,Sulawesi Tengah,Operasi Produksi,0,0,"Blok I dan Blok III, kadar Ni 0,4% s.d. 1,2%, 1,2 s.d. 1,8%, 1,8 s.d. 2,4%","PT Ang and Fang Brothers (576 ha), Laporan RKAB Tahun 2022",1623,122.0757,-2.8126,IUP,Desa Lalampu Kec. Bahodopi,775,"April 19, 2032","Februari 16, 2022",9910.423,888.488,1963.137
Pagimana,Banggai,Nikel Longgona Barat,1.366.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Longgona Barat,Sulawesi Tengah,Operasi Produksi,0,0,Blok Bualemo,"PT Anugerah Sumber Bumi, Laporan Revisi RKAB Tahun 2020",1386,122.605,-0.812,IUP,Kecamatan Bualemo,199,"Maret 22, 2032","Januari 30, 2023",6301.642,35.417,189780.634
Bualemo,Banggai,Nikel Longkoga Barat 1,2.536.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Longkoga Barat 1,Sulawesi Tengah,Operasi Produksi,0,0,Blok Bolaemo dan Blok Siuna,"PT Anugrah Bangun Makmur, Laporan RKAB Tahun 2020",1558,123.0335,-0.6975,IUP,"Kec. Pagimana, Banggai",4335,"Marret 23, 2035","April 19, 2017",38503.994,2700.904,235028.231
Toili,Banggai,Nikel Singkoyo,2.537.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Singkoyo,Sulawesi Tengah,Operasi Produksi,0,0,"Laterit wmt, kadar Ni 1,27%","PT Anugrah Bumi Gemilang, Laporan RKAB Tahun 2020",1559,122.3216,-1.4162,IUP,"Kec Toili dan Toili Barat, Kab. Banggai",4100,"Mei 15, 2035","September 2, 2015",34303.648,148.311,125555.795
Toili Barat,Banggai,Nikel Piondo,2.538.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Piondo,Sulawesi Tengah,Operasi Produksi,0,0,"Laterit wmt, kadar Ni 1,28%","PT Anugrah Bumi Gemilang, Laporan RKAB Tahun 2020",1560,122.246,-1.4652,IUP,"Kec Toili dan Toili Barat, Kab. Banggai",4100,"Mei 15, 2035","September 2, 2015",44306.751,20.707,115593.220
Sayo Jaya,Morowali Utara,Nikel Tamainusi 3,2.859.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Tamainusi 3,Sulawesi Tengah,Operasi Produksi,2719000,0,Tidak ada data kadar Ni,"PT Aulia Prima Perkasa, Persetejuan Laporan RKAB Tahun 2021",1656,121.221,-1.8369,IUP,"Kecamatan Soyo Jaya, Kabupaten Morowali Utara",339,"September 20, 2033","September 20, 2023",19993.903,6676.420,16150.842
Bungku Selatan,Morowali,Nikel Laro Enai 1,1.383.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Laro Enai 1,Sulawesi Tengah,Operasi Produksi,3350000,33124,"Limonit Kadar 0,8 - 1,2%","PT Bima Cakra Perkasa Mineralindo, Laporan RKAB Tahun 2022",1402,122.245,-3.055,IUP,"Desa Laro'enai Kec. Bungku Selatan, Kab. Morowali",199,"Agustus 20, 2030","November 25, 2013",28766.066,170.305,2924.612
Bahodopi,Morowali,Nikel Bahomoahi,273.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Bohomakmur,Sulawesi Tengah,Operasi Produksi,20271911,249.802.896.770,"Blok-1,3,4,5,8","PT Bintang Delapan Mineral, Laporan RKAB Tahun 2020",1293,121.975,-2.698,IUP,"Desa Bohomoahi, Bohomotefe, Lalampu, Lele, Dampala, Siumbatu, Bahodopi, Keurea Dan Fatufia Kec. Bungku Tengah dan Bahodopi",20765,"Juli 20, 2027","Desember 30, 2022",24332.333,220.809,7362.846
Bungku Pesisir,Morowali,Nikel Lamantoli,1.948.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Lamantoli,Sulawesi Tengah,Operasi Produksi,1760000,15646.4,Low-Medium-High Grade,"PT Bintang Sinar Perkasa, Laporan RKAB Tahun 2022",1480,122.405,-3.148,IUP,"Desa Lamontoli, Kec. Bungku Selatan, Kab. Morowali",1867.7,"Januari 16, 2036","Juni 9, 2017",17229.187,930.283,18527.678
